Month;Electricity consumption
1990M01;15249
1990M02;13211
1990M03;14548
1990M04;12803
1990M05;11845
1990M06;10312
1990M07;9590
1990M08;10986
1990M09;12219
1990M10;14095
1990M11;14819
1990M12;14945
1991M01;15755
1991M02;14799
1991M03;14534
1991M04;12385
1991M05;11057
1991M06;10090
1991M07;9648
1991M08;9640
1991M09;10235
1991M10;12545
1991M11;13634
1991M12;14486
1992M01;14834
1992M02;14224
1992M03;14828
1992M04;13561
1992M05;11402
1992M06;9935
1992M07;9123
1992M08;10956
1992M09;11272
1992M10;13333
1992M11;13311
1992M12;13653
1993M01;14288
1993M02;13099
1993M03;14003
1993M04;12177
1993M05;11081
1993M06;10879
1993M07;9790
1993M08;11457
1993M09;11549
1993M10;12472
1993M11;13753
1993M12;14495
1994M01;14273
1994M02;14525
1994M03;14199
1994M04;12061
1994M05;11623
1994M06;9822
1994M07;8733
1994M08;9545
1994M09;10360
1994M10;12205
1994M11;12893
1994M12;13622
1995M01;14627
1995M02;12957
1995M03;13856
1995M04;12366
1995M05;12270
1995M06;10803
1995M07;9815
1995M08;10431
1995M09;10954
1995M10;12118
1995M11;14555
1995M12;16197
1996M01;15845
1996M02;15275
1996M03;14257
1996M04;11879
1996M05;11027
1996M06;10068
1996M07;9808
1996M08;10077
1996M09;11515
1996M10;12665
1996M11;13577
1996M12;15900
1997M01;16121
1997M02;14260
1997M03;14634
1997M04;13462
1997M05;12381
1997M06;10767
1997M07;9959
1997M08;10290
1997M09;9972
1997M10;13405
1997M11;13897
1997M12;14753
1998M01;15027
1998M02;13621
1998M03;14909
1998M04;13434
1998M05;12698
1998M06;11127
1998M07;10914
1998M08;11695
1998M09;12046
1998M10;13771
1998M11;15392
1998M12;15702
1999M01;16023
1999M02;14520
1999M03;15485
1999M04;13232
1999M05;12841
1999M06;11040
1999M07;10477
1999M08;10953
1999M09;10997
1999M10;13400
1999M11;14041
1999M12;15873
2000M01;15503
2000M02;14818
2000M03;15138
2000M04;12597
2000M05;11984
2000M06;10923
2000M07;11151
2000M08;12273
2000M09;12551
2000M10;13413
2000M11;14321
2000M12;15531
2001M01;16669
2001M02;15550
2001M03;16232
2001M04;13816
2001M05;12821
2001M06;10949
2001M07;10933
2001M08;12056
2001M09;13696
2001M10;14334
2001M11;15288
2001M12;16565
2002M01;16822
2002M02;14629
2002M03;15602
2002M04;13711
2002M05;12777
2002M06;11107
2002M07;11804
2002M08;11528
2002M09;11407
2002M10;13933
2002M11;14752
2002M12;16030
2003M01;16589
2003M02;14787
2003M03;14993
2003M04;13626
2003M05;12086
2003M06;10246
2003M07;10072
2003M08;10484
2003M09;10795
2003M10;13545
2003M11;14139
2003M12;15467
2004M01;16676
2004M02;14986
2004M03;15265
2004M04;13363
2004M05;12398
2004M06;10654
2004M07;11818
2004M08;11174
2004M09;11939
2004M10;14318
2004M11;15257
2004M12;16282
2005M01;16609
2005M02;15479
2005M03;15496
2005M04;13229
2005M05;12791
2005M06;11781
2005M07;11688
2005M08;12310
2005M09;12706
2005M10;13974
2005M11;14997
2005M12;16538
2006M01;17065
2006M02;15226
2006M03;16167
2006M04;13461
2006M05;12850
2006M06;10646
2006M07;10104
2006M08;10114
2006M09;10414
2006M10;12887
2006M11;14172
2006M12;15008
2007M01;16231
2007M02;14807
2007M03;15014
2007M04;13692
2007M05;13291
2007M06;11395
2007M07;11218
2007M08;11635
2007M09;11448
2007M10;13059
2007M11;14215
2007M12;15134
2008M01;16515
2008M02;15299
2008M03;15954
2008M04;13969
2008M05;12902
2008M06;10998
2008M07;10843
2008M08;10552
2008M09;11604
2008M10;12518
2008M11;13453
2008M12;14167
2009M01;15692
2009M02;14416
2009M03;13846
2009M04;11417
2009M05;11231
2009M06;10330
2009M07;9671
2009M08;10369
2009M09;10465
2009M10;12527
2009M11;12601
2009M12;14866
2010M01;16495
2010M02;14476
2010M03;14558
2010M04;12492
2010M05;13184
2010M06;12004
2010M07;11095
2010M08;11178
2010M09;10717
2010M10;12515
2010M11;14535
2010M12;16758
2011M01;16398
2011M02;15159
2011M03;14989
2011M04;12397
2011M05;11452
2011M06;11036
2011M07;11496
2011M08;11973
2011M09;12390
2011M10;13056
2011M11;13417
2011M12;15613
2012M01;16782
2012M02;15927
2012M03;15480
2012M04;14659
2012M05;13530
2012M06;12364
2012M07;12320
2012M08;12929
2012M09;12838
2012M10;14777
2012M11;15015
2012M12;17107
2013M01;17282
2013M02;15372
2013M03;16353
2013M04;13678
2013M05;11960
2013M06;10845
2013M07;11421
2013M08;11461
2013M09;11438
2013M10;12831
2013M11;14230
2013M12;15551
2014M01;17427
2014M02;15342
2014M03;16087
2014M04;13832
2014M05;12123
2014M06;11359
2014M07;11713
2014M08;11557
2014M09;11552
2014M10;13419
2014M11;14512
2014M12;16120